事件/資產名稱,龍魂ID,治理維度,DNA層級,三色審計,熔斷級別,風險評分,處理狀態,女媧五彩石,R值（影響範圍）,I值（事件重要性）,已否決,紅線觸碰,負責人,創建時間,DNA追溯碼,三才校驗,創建者,商業授權狀態,壓力測試問題,壓力測試結果,審查對象,對外狀態,已加密,平台/來源,最後編輯,本機路徑,松緊級別,涉及維度,版本號,登記時間,編輯者,老大原話存檔,行動建議,證據鏈摘要,資產類型
🖥️ App: Keynote Creator Studio,4118,,,🟢 通過,🟢 正常,,📥 待登記,,,,No,No,,2026年3月27日 18:57,#龍芯⚡️2026-03-27-APP_KEYNOTE_CREATOR_STUDIO_E00F-v1.0,,💎 龍芯北辰｜UID9622,👑 UID9622獨佔,,,,🔒 絕對私有,No,🟢 本機設備,2026年3月27日 18:57,/Applications/Keynote Creator http://Studio.app,,,v1.0,,💎 龍芯北辰｜UID9622,,,已安装应用 @ /Applications,💻 代碼/工具
⚡ 快捷指令: 清理截屏,4097,,,🟢 通過,🟢 正常,,📥 待登記,,,,No,No,,2026年3月27日 18:57,#龍芯⚡️2026-03-27-AI_V1_0_SEVEN-DIMENSION_AI_GOVERNA_1_456C-v1.0,,💎 龍芯北辰｜UID9622,👑 UID9622獨佔,,,,🔒 絕對私有,No,🟢 本機設備,2026年3月27日 18:57,Siri Shortcuts,,,v1.0,,💎 龍芯北辰｜UID9622,,,iOS/macOS快捷指令: 清理截屏,💻 代碼/工具
🖥️ App: Logic Pro Creator Studio,4123,,,🟢 通過,🟢 正常,,📥 待登記,,,,No,No,,2026年3月27日 18:57,#龍芯⚡️2026-03-27-APP_LOGIC_PRO_CREATOR_STUDIO_1D85-v1.0,,💎 龍芯北辰｜UID9622,👑 UID9622獨佔,,,,🔒 絕對私有,No,🟢 本機設備,2026年3月27日 18:57,/Applications/Logic Pro Creator http://Studio.app,,,v1.0,,💎 龍芯北辰｜UID9622,,,已安装应用 @ /Applications,💻 代碼/工具
🖥️ App: Pages Creator Studio,4134,,,🟢 通過,🟢 正常,,📥 待登記,,,,No,No,,2026年3月27日 18:57,#龍芯⚡️2026-03-27-APP_PAGES_CREATOR_STUDIO_6654-v1.0,,💎 龍芯北辰｜UID9622,👑 UID9622獨佔,,,,🔒 絕對私有,No,🟢 本機設備,2026年3月27日 18:57,/Applications/Pages Creator http://Studio.app,,,v1.0,,💎 龍芯北辰｜UID9622,,,已安装应用 @ /Applications,💻 代碼/工具
🖥️ App: MChat,4124,,,🟢 通過,🟢 正常,,📥 待登記,,,,No,No,,2026年3月27日 18:57,#龍芯⚡️2026-03-27-APP_MCHAT_9FDE-v1.0,,💎 龍芯北辰｜UID9622,👑 UID9622獨佔,,,,🔒 絕對私有,No,🟢 本機設備,2026年3月27日 18:57,/Applications/http://MChat.app,,,v1.0,,💎 龍芯北辰｜UID9622,,,已安装应用 @ /Applications,💻 代碼/工具
🗝️ Keychain: login,4175,,,🟢 通過,🟢 正常,,📥 待登記,,,,No,No,,2026年3月27日 18:57,#龍芯⚡️2026-03-27-KEYCHAIN_LOGIN_3C24-v1.0,,💎 龍芯北辰｜UID9622,👑 UID9622獨佔,,,,🔒 絕對私有,No,🟢 本機設備,2026年3月27日 18:57,/Users/zuimeidedeyihan/Library/Keychains/login.keychain-db,,,v1.0,,💎 龍芯北辰｜UID9622,,,Apple密钥链,🔒 核心協議
🖥️ App: WeChat,4150,,,🟢 通過,🟢 正常,,📥 待登記,,,,No,No,,2026年3月27日 18:57,#龍芯⚡️2026-03-27-APP_WECHAT_68AF-v1.0,,💎 龍芯北辰｜UID9622,👑 UID9622獨佔,,,,🔒 絕對私有,No,🟢 本機設備,2026年3月27日 18:57,/Applications/http://WeChat.app,,,v1.0,,💎 龍芯北辰｜UID9622,,,已安装应用 @ /Applications,💻 代碼/工具
🚀 LaunchAgent: com.epicgames.launcher,4168,,,🟢 通過,🟢 正常,,📥 待登記,,,,No,No,,2026年3月27日 18:57,#龍芯⚡️2026-03-27-LAUNCHAGENT_COM_EPICGAMES_LAUNCH_19BE-v1.0,,💎 龍芯北辰｜UID9622,👑 UID9622獨佔,,,,🔒 絕對私有,No,🟢 本機設備,2026年3月27日 18:57,/Users/zuimeidedeyihan/Library/LaunchAgents/com.epicgames.launcher.plist,,,v1.0,,💎 龍芯北辰｜UID9622,,,开机自启项 @ /Users/zuimeidedeyihan/Library/LaunchAgents,⚙️ 系統架構
🖥️ App: Docker,4111,,,🟢 通過,🟢 正常,,📥 待登記,,,,No,No,,2026年3月27日 18:57,#龍芯⚡️2026-03-27-APP_DOCKER_C500-v1.0,,💎 龍芯北辰｜UID9622,👑 UID9622獨佔,,,,🔒 絕對私有,No,🟢 本機設備,2026年3月27日 18:57,/Applications/http://Docker.app,,,v1.0,,💎 龍芯北辰｜UID9622,,,已安装应用 @ /Applications,💻 代碼/工具
🖥️ App: Facebook,4113,,,🟢 通過,🟢 正常,,📥 待登記,,,,No,No,,2026年3月27日 18:57,#龍芯⚡️2026-03-27-APP_FACEBOOK_A3FC-v1.0,,💎 龍芯北辰｜UID9622,👑 UID9622獨佔,,,,🔒 絕對私有,No,🟢 本機設備,2026年3月27日 18:57,/Users/zuimeidedeyihan/Applications/http://Facebook.app,,,v1.0,,💎 龍芯北辰｜UID9622,,,已安装应用 @ /Users/zuimeidedeyihan/Applications,💻 代碼/工具
🖥️ App: BBEdit,4101,,,🟢 通過,🟢 正常,,📥 待登記,,,,No,No,,2026年3月27日 18:57,#龍芯⚡️2026-03-27-APP_BBEDIT_5A46-v1.0,,💎 龍芯北辰｜UID9622,👑 UID9622獨佔,,,,🔒 絕對私有,No,🟢 本機設備,2026年3月27日 18:57,/Applications/http://BBEdit.app,,,v1.0,,💎 龍芯北辰｜UID9622,,,已安装应用 @ /Applications,💻 代碼/工具
🖥️ App: Claude,4106,,,🟢 通過,🟢 正常,,📥 待登記,,,,No,No,,2026年3月27日 18:57,#龍芯⚡️2026-03-27-APP_CLAUDE_3A83-v1.0,,💎 龍芯北辰｜UID9622,👑 UID9622獨佔,,,,🔒 絕對私有,No,🟢 本機設備,2026年3月27日 18:57,/Applications/http://Claude.app,,,v1.0,,💎 龍芯北辰｜UID9622,,,已安装应用 @ /Applications,💻 代碼/工具
🚀 LaunchAgent: com.longhun.sync,4161,,,🟢 通過,🟢 正常,,📥 待登記,,,,No,No,,2026年3月27日 18:57,#龍芯⚡️2026-03-27-LAUNCHAGENT_COM_LONGHUN_SYNC_78B2-v1.0,,💎 龍芯北辰｜UID9622,👑 UID9622獨佔,,,,🔒 絕對私有,No,🟢 本機設備,2026年3月27日 18:57,/Users/zuimeidedeyihan/Library/LaunchAgents/com.longhun.sync.plist,,,v1.0,,💎 龍芯北辰｜UID9622,,,开机自启项 @ /Users/zuimeidedeyihan/Library/LaunchAgents,⚙️ 系統架構
🚀 LaunchAgent: com.longhun.cleanup,4164,,,🟢 通過,🟢 正常,,📥 待登記,,,,No,No,,2026年3月27日 18:57,#龍芯⚡️2026-03-27-LAUNCHAGENT_COM_LONGHUN_CLEANUP_D39A-v1.0,,💎 龍芯北辰｜UID9622,👑 UID9622獨佔,,,,🔒 絕對私有,No,🟢 本機設備,2026年3月27日 18:57,/Users/zuimeidedeyihan/Library/LaunchAgents/com.longhun.cleanup.plist,,,v1.0,,💎 龍芯北辰｜UID9622,,,开机自启项 @ /Users/zuimeidedeyihan/Library/LaunchAgents,⚙️ 系統架構
🚀 LaunchAgent: com.longhun.startup,4160,,,🟢 通過,🟢 正常,,📥 待登記,,,,No,No,,2026年3月27日 18:57,#龍芯⚡️2026-03-27-LAUNCHAGENT_COM_LONGHUN_STARTUP_481B-v1.0,,💎 龍芯北辰｜UID9622,👑 UID9622獨佔,,,,🔒 絕對私有,No,🟢 本機設備,2026年3月27日 18:57,/Users/zuimeidedeyihan/Library/LaunchAgents/com.longhun.startup.plist,,,v1.0,,💎 龍芯北辰｜UID9622,,,开机自启项 @ /Users/zuimeidedeyihan/Library/LaunchAgents,⚙️ 系統架構
"🗝️ Keychain: ",4178,,,🟢 通過,🟢 正常,,📥 待登記,,,,No,No,,2026年3月27日 18:57,#龍芯⚡️2026-03-27-KEYCHAIN_965A-v1.0,,💎 龍芯北辰｜UID9622,👑 UID9622獨佔,,,,🔒 絕對私有,No,🟢 本機設備,2026年3月27日 18:57,,,,v1.0,,💎 龍芯北辰｜UID9622,,,Apple密钥链,🔒 核心協議
🖥️ App: Developer,4110,,,🟢 通過,🟢 正常,,📥 待登記,,,,No,No,,2026年3月27日 18:57,#龍芯⚡️2026-03-27-APP_DEVELOPER_C81B-v1.0,,💎 龍芯北辰｜UID9622,👑 UID9622獨佔,,,,🔒 絕對私有,No,🟢 本機設備,2026年3月27日 18:57,/Applications/http://Developer.app,,,v1.0,,💎 龍芯北辰｜UID9622,,,已安装应用 @ /Applications,💻 代碼/工具
🖥️ App: Pixelmator Pro,4136,,,🟢 通過,🟢 正常,,📥 待登記,,,,No,No,,2026年3月27日 18:57,#龍芯⚡️2026-03-27-APP_PIXELMATOR_PRO_B48B-v1.0,,💎 龍芯北辰｜UID9622,👑 UID9622獨佔,,,,🔒 絕對私有,No,🟢 本機設備,2026年3月27日 18:57,/Applications/Pixelmator http://Pro.app,,,v1.0,,💎 龍芯北辰｜UID9622,,,已安装应用 @ /Applications,💻 代碼/工具
🖥️ App: Compressor Creator Studio,4109,,,🟢 通過,🟢 正常,,📥 待登記,,,,No,No,,2026年3月27日 18:57,#龍芯⚡️2026-03-27-APP_COMPRESSOR_CREATOR_STUDIO_1CAA-v1.0,,💎 龍芯北辰｜UID9622,👑 UID9622獨佔,,,,🔒 絕對私有,No,🟢 本機設備,2026年3月27日 18:57,/Applications/Compressor Creator http://Studio.app,,,v1.0,,💎 龍芯北辰｜UID9622,,,已安装应用 @ /Applications,💻 代碼/工具
🖥️ App: Firefox,4115,,,🟢 通過,🟢 正常,,📥 待登記,,,,No,No,,2026年3月27日 18:57,#龍芯⚡️2026-03-27-APP_FIREFOX_38E8-v1.0,,💎 龍芯北辰｜UID9622,👑 UID9622獨佔,,,,🔒 絕對私有,No,🟢 本機設備,2026年3月27日 18:57,/Applications/http://Firefox.app,,,v1.0,,💎 龍芯北辰｜UID9622,,,已安装应用 @ /Applications,💻 代碼/工具
🖥️ App: LM Studio,4121,,,🟢 通過,🟢 正常,,📥 待登記,,,,No,No,,2026年3月27日 18:57,#龍芯⚡️2026-03-27-APP_LM_STUDIO_F2C2-v1.0,,💎 龍芯北辰｜UID9622,👑 UID9622獨佔,,,,🔒 絕對私有,No,🟢 本機設備,2026年3月27日 18:57,/Applications/LM http://Studio.app,,,v1.0,,💎 龍芯北辰｜UID9622,,,已安装应用 @ /Applications,💻 代碼/工具
🖥️ App: Telegram,4144,,,🟢 通過,🟢 正常,,📥 待登記,,,,No,No,,2026年3月27日 18:57,#龍芯⚡️2026-03-27-APP_TELEGRAM_17C1-v1.0,,💎 龍芯北辰｜UID9622,👑 UID9622獨佔,,,,🔒 絕對私有,No,🟢 本機設備,2026年3月27日 18:57,/Applications/http://Telegram.app,,,v1.0,,💎 龍芯北辰｜UID9622,,,已安装应用 @ /Applications,💻 代碼/工具
🚀 LaunchAgent: com.uid9622.shield,4165,,,🟢 通過,🟢 正常,,📥 待登記,,,,No,No,,2026年3月27日 18:57,#龍芯⚡️2026-03-27-LAUNCHAGENT_COM_UID9622_SHIELD_6DF9-v1.0,,💎 龍芯北辰｜UID9622,👑 UID9622獨佔,,,,🔒 絕對私有,No,🟢 本機設備,2026年3月27日 18:57,/Users/zuimeidedeyihan/Library/LaunchAgents/com.uid9622.shield.plist,,,v1.0,,💎 龍芯北辰｜UID9622,,,开机自启项 @ /Users/zuimeidedeyihan/Library/LaunchAgents,⚙️ 系統架構
🖥️ App: wpsoffice,4155,,,🟢 通過,🟢 正常,,📥 待登記,,,,No,No,,2026年3月27日 18:57,#龍芯⚡️2026-03-27-APP_WPSOFFICE_D22A-v1.0,,💎 龍芯北辰｜UID9622,👑 UID9622獨佔,,,,🔒 絕對私有,No,🟢 本機設備,2026年3月27日 18:57,/Applications/http://wpsoffice.app,,,v1.0,,💎 龍芯北辰｜UID9622,,,已安装应用 @ /Applications,💻 代碼/工具
🖥️ App: Final Cut Pro Creator Studio,4114,,,🟢 通過,🟢 正常,,📥 待登記,,,,No,No,,2026年3月27日 18:57,#龍芯⚡️2026-03-27-APP_FINAL_CUT_PRO_CREATOR_STUDI_EFA4-v1.0,,💎 龍芯北辰｜UID9622,👑 UID9622獨佔,,,,🔒 絕對私有,No,🟢 本機設備,2026年3月27日 18:57,/Applications/Final Cut Pro Creator http://Studio.app,,,v1.0,,💎 龍芯北辰｜UID9622,,,已安装应用 @ /Applications,💻 代碼/工具
🖥️ App: Numbers Creator Studio,4132,,,🟢 通過,🟢 正常,,📥 待登記,,,,No,No,,2026年3月27日 18:57,#龍芯⚡️2026-03-27-APP_NUMBERS_CREATOR_STUDIO_8AC4-v1.0,,💎 龍芯北辰｜UID9622,👑 UID9622獨佔,,,,🔒 絕對私有,No,🟢 本機設備,2026年3月27日 18:57,/Applications/Numbers Creator http://Studio.app,,,v1.0,,💎 龍芯北辰｜UID9622,,,已安装应用 @ /Applications,💻 代碼/工具
🚀 LaunchAgent: com.moonshot.kimichat,4167,,,🟢 通過,🟢 正常,,📥 待登記,,,,No,No,,2026年3月27日 18:57,#龍芯⚡️2026-03-27-LAUNCHAGENT_COM_MOONSHOT_KIMICHA_C700-v1.0,,💎 龍芯北辰｜UID9622,👑 UID9622獨佔,,,,🔒 絕對私有,No,🟢 本機設備,2026年3月27日 18:57,/Users/zuimeidedeyihan/Library/LaunchAgents/com.moonshot.kimichat.plist,,,v1.0,,💎 龍芯北辰｜UID9622,,,开机自启项 @ /Users/zuimeidedeyihan/Library/LaunchAgents,⚙️ 系統架構
🖥️ App: Apple Immersive Video Utility,4100,,,🟢 通過,🟢 正常,,📥 待登記,,,,No,No,,2026年3月27日 18:57,#龍芯⚡️2026-03-27-APP_APPLE_IMMERSIVE_VIDEO_UTILI_4DAA-v1.0,,💎 龍芯北辰｜UID9622,👑 UID9622獨佔,,,,🔒 絕對私有,No,🟢 本機設備,2026年3月27日 18:57,/Applications/Apple Immersive Video http://Utility.app,,,v1.0,,💎 龍芯北辰｜UID9622,,,已安装应用 @ /Applications,💻 代碼/工具
⚡ 快捷指令: ✅确认码,4090,,,🟢 通過,🟢 正常,,📥 待登記,,,,No,No,,2026年3月27日 18:57,#龍芯⚡️2026-03-27-AI_V1_0_SEVEN-DIMENSION_AI_GOVERNA_1_43B1-v1.0,,💎 龍芯北辰｜UID9622,👑 UID9622獨佔,,,,🔒 絕對私有,No,🟢 本機設備,2026年3月27日 18:57,Siri Shortcuts,,,v1.0,,💎 龍芯北辰｜UID9622,,,iOS/macOS快捷指令: ✅确认码,💻 代碼/工具
🖥️ App: CSDN,4103,,,🟢 通過,🟢 正常,,📥 待登記,,,,No,No,,2026年3月27日 18:57,#龍芯⚡️2026-03-27-APP_CSDN_BE77-v1.0,,💎 龍芯北辰｜UID9622,👑 UID9622獨佔,,,,🔒 絕對私有,No,🟢 本機設備,2026年3月27日 18:57,/Applications/http://CSDN.app,,,v1.0,,💎 龍芯北辰｜UID9622,,,已安装应用 @ /Applications,💻 代碼/工具
🖥️ App: Shazam,4140,,,🟢 通過,🟢 正常,,📥 待登記,,,,No,No,,2026年3月27日 18:57,#龍芯⚡️2026-03-27-APP_SHAZAM_B6DD-v1.0,,💎 龍芯北辰｜UID9622,👑 UID9622獨佔,,,,🔒 絕對私有,No,🟢 本機設備,2026年3月27日 18:57,/Applications/http://Shazam.app,,,v1.0,,💎 龍芯北辰｜UID9622,,,已安装应用 @ /Applications,💻 代碼/工具
🖥️ App: GarageBand,4116,,,🟢 通過,🟢 正常,,📥 待登記,,,,No,No,,2026年3月27日 18:57,#龍芯⚡️2026-03-27-APP_GARAGEBAND_DE83-v1.0,,💎 龍芯北辰｜UID9622,👑 UID9622獨佔,,,,🔒 絕對私有,No,🟢 本機設備,2026年3月27日 18:57,/Applications/http://GarageBand.app,,,v1.0,,💎 龍芯北辰｜UID9622,,,已安装应用 @ /Applications,💻 代碼/工具
🖥️ App: Pixelmator Pro Creator Studio,4137,,,🟢 通過,🟢 正常,,📥 待登記,,,,No,No,,2026年3月27日 18:57,#龍芯⚡️2026-03-27-APP_PIXELMATOR_PRO_CREATOR_STUD_4407-v1.0,,💎 龍芯北辰｜UID9622,👑 UID9622獨佔,,,,🔒 絕對私有,No,🟢 本機設備,2026年3月27日 18:57,/Applications/Pixelmator Pro Creator http://Studio.app,,,v1.0,,💎 龍芯北辰｜UID9622,,,已安装应用 @ /Applications,💻 代碼/工具
🚀 LaunchAgent: com.longhun.monitor,4162,,,🟢 通過,🟢 正常,,📥 待登記,,,,No,No,,2026年3月27日 18:57,#龍芯⚡️2026-03-27-LAUNCHAGENT_COM_LONGHUN_MONITOR_1B18-v1.0,,💎 龍芯北辰｜UID9622,👑 UID9622獨佔,,,,🔒 絕對私有,No,🟢 本機設備,2026年3月27日 18:57,/Users/zuimeidedeyihan/Library/LaunchAgents/com.longhun.monitor.plist,,,v1.0,,💎 龍芯北辰｜UID9622,,,开机自启项 @ /Users/zuimeidedeyihan/Library/LaunchAgents,⚙️ 系統架構
🖥️ App: Classroom,4105,,,🟢 通過,🟢 正常,,📥 待登記,,,,No,No,,2026年3月27日 18:57,#龍芯⚡️2026-03-27-APP_CLASSROOM_6BF2-v1.0,,💎 龍芯北辰｜UID9622,👑 UID9622獨佔,,,,🔒 絕對私有,No,🟢 本機設備,2026年3月27日 18:57,/Applications/http://Classroom.app,,,v1.0,,💎 龍芯北辰｜UID9622,,,已安装应用 @ /Applications,💻 代碼/工具
🖥️ App: TestFlight,4147,,,🟢 通過,🟢 正常,,📥 待登記,,,,No,No,,2026年3月27日 18:57,#龍芯⚡️2026-03-27-APP_TESTFLIGHT_FBA9-v1.0,,💎 龍芯北辰｜UID9622,👑 UID9622獨佔,,,,🔒 絕對私有,No,🟢 本機設備,2026年3月27日 18:57,/Applications/http://TestFlight.app,,,v1.0,,💎 龍芯北辰｜UID9622,,,已安装应用 @ /Applications,💻 代碼/工具
"⚡ 快捷指令: 分屏显示 Safari 浏览器和""备忘录""",4096,,,🟢 通過,🟢 正常,,📥 待登記,,,,No,No,,2026年3月27日 18:57,"#龍芯⚡️2026-03-27-SAFARI_92BD-v1.0",,💎 龍芯北辰｜UID9622,👑 UID9622獨佔,,,,🔒 絕對私有,No,🟢 本機設備,2026年3月27日 18:57,Siri Shortcuts,,,v1.0,,💎 龍芯北辰｜UID9622,,,"iOS/macOS快捷指令: 分屏显示 Safari 浏览器和""备忘录""",💻 代碼/工具
🖥️ App: Motion Creator Studio,4129,,,🟢 通過,🟢 正常,,📥 待登記,,,,No,No,,2026年3月27日 18:57,#龍芯⚡️2026-03-27-APP_MOTION_CREATOR_STUDIO_1A46-v1.0,,💎 龍芯北辰｜UID9622,👑 UID9622獨佔,,,,🔒 絕對私有,No,🟢 本機設備,2026年3月27日 18:57,/Applications/Motion Creator http://Studio.app,,,v1.0,,💎 龍芯北辰｜UID9622,,,已安装应用 @ /Applications,💻 代碼/工具
⚡ 快捷指令: 分屏显示 2 个 App,4095,,,🟢 通過,🟢 正常,,📥 待登記,,,,No,No,,2026年3月27日 18:57,#龍芯⚡️2026-03-27-MOD_2_APP_2987-v1.0,,💎 龍芯北辰｜UID9622,👑 UID9622獨佔,,,,🔒 絕對私有,No,🟢 本機設備,2026年3月27日 18:57,Siri Shortcuts,,,v1.0,,💎 龍芯北辰｜UID9622,,,iOS/macOS快捷指令: 分屏显示 2 个 App,💻 代碼/工具
🖥️ App: UlyssesMac,4149,,,🟢 通過,🟢 正常,,📥 待登記,,,,No,No,,2026年3月27日 18:57,#龍芯⚡️2026-03-27-APP_ULYSSESMAC_D7FE-v1.0,,💎 龍芯北辰｜UID9622,👑 UID9622獨佔,,,,🔒 絕對私有,No,🟢 本機設備,2026年3月27日 18:57,/Applications/http://UlyssesMac.app,,,v1.0,,💎 龍芯北辰｜UID9622,,,已安装应用 @ /Applications,💻 代碼/工具
🖥️ App: MainStage,4125,,,🟢 通過,🟢 正常,,📥 待登記,,,,No,No,,2026年3月27日 18:57,#龍芯⚡️2026-03-27-APP_MAINSTAGE_3301-v1.0,,💎 龍芯北辰｜UID9622,👑 UID9622獨佔,,,,🔒 絕對私有,No,🟢 本機設備,2026年3月27日 18:57,/Applications/http://MainStage.app,,,v1.0,,💎 龍芯北辰｜UID9622,,,已安装应用 @ /Applications,💻 代碼/工具
